id,Consent_000_RAW,Consent_001_RAW,Consent_000_DIR,Consent_001_DIR,Consent_RAW_NA,Consent_DIR_NA,Consent_DIRt
071jagnt41ukona9m914,,,NA,NA,0,2,0
10,,,NA,NA,0,2,0
100,,,NA,NA,0,2,0
101,,,NA,NA,0,2,0
102,,,NA,NA,0,2,0
103,,,NA,NA,0,2,0
104,,,NA,NA,0,2,0
105,,,NA,NA,0,2,0
106,,,NA,NA,0,2,0
107,,,NA,NA,0,2,0
108,,,NA,NA,0,2,0
109,,,NA,NA,0,2,0
11,,,NA,NA,0,2,0
110,,,NA,NA,0,2,0
111,,,NA,NA,0,2,0
112,,,NA,NA,0,2,0
113,,,NA,NA,0,2,0
114,,,NA,NA,0,2,0
115,,,NA,NA,0,2,0
116,,,NA,NA,0,2,0
117,,,NA,NA,0,2,0
118,,,NA,NA,0,2,0
119,,,NA,NA,0,2,0
12,,,NA,NA,0,2,0
120,,,NA,NA,0,2,0
121,,,NA,NA,0,2,0
122,,,NA,NA,0,2,0
123,,,NA,NA,0,2,0
124,,,NA,NA,0,2,0
125,,,NA,NA,0,2,0
126,,,NA,NA,0,2,0
127,,,NA,NA,0,2,0
128,,,NA,NA,0,2,0
129,,,NA,NA,0,2,0
13,,,NA,NA,0,2,0
130,,,NA,NA,0,2,0
131,,,NA,NA,0,2,0
132,,,NA,NA,0,2,0
133,,,NA,NA,0,2,0
134,,,NA,NA,0,2,0
135,,,NA,NA,0,2,0
136,,,NA,NA,0,2,0
137,,,NA,NA,0,2,0
138,,,NA,NA,0,2,0
139,,,NA,NA,0,2,0
14,,,NA,NA,0,2,0
140,,,NA,NA,0,2,0
141,,,NA,NA,0,2,0
142,,,NA,NA,0,2,0
143,,,NA,NA,0,2,0
144,,,NA,NA,0,2,0
145,,,NA,NA,0,2,0
146,,,NA,NA,0,2,0
147,,,NA,NA,0,2,0
148,,,NA,NA,0,2,0
149,,,NA,NA,0,2,0
15,,,NA,NA,0,2,0
150,,,NA,NA,0,2,0
151,,,NA,NA,0,2,0
152,,,NA,NA,0,2,0
153,,,NA,NA,0,2,0
154,,,NA,NA,0,2,0
155,,,NA,NA,0,2,0
156,,,NA,NA,0,2,0
157,,,NA,NA,0,2,0
158,,,NA,NA,0,2,0
159,,,NA,NA,0,2,0
16,,,NA,NA,0,2,0
160,,,NA,NA,0,2,0
161,,,NA,NA,0,2,0
162,,,NA,NA,0,2,0
163,,,NA,NA,0,2,0
164,,,NA,NA,0,2,0
165,,,NA,NA,0,2,0
166,,,NA,NA,0,2,0
167,,,NA,NA,0,2,0
168,,,NA,NA,0,2,0
169,,,NA,NA,0,2,0
17,,,NA,NA,0,2,0
170,,,NA,NA,0,2,0
171,,,NA,NA,0,2,0
172,,,NA,NA,0,2,0
173,,,NA,NA,0,2,0
174,,,NA,NA,0,2,0
175,,,NA,NA,0,2,0
176,,,NA,NA,0,2,0
177,,,NA,NA,0,2,0
178,,,NA,NA,0,2,0
179,,,NA,NA,0,2,0
18,,,NA,NA,0,2,0
180,,,NA,NA,0,2,0
181,,,NA,NA,0,2,0
182,,,NA,NA,0,2,0
183,,,NA,NA,0,2,0
184,,,NA,NA,0,2,0
185,,,NA,NA,0,2,0
186,,,NA,NA,0,2,0
187,,,NA,NA,0,2,0
188,,,NA,NA,0,2,0
189,,,NA,NA,0,2,0
19,,,NA,NA,0,2,0
190,,,NA,NA,0,2,0
191,,,NA,NA,0,2,0
192,,,NA,NA,0,2,0
193,,,NA,NA,0,2,0
194,,,NA,NA,0,2,0
195,,,NA,NA,0,2,0
196,,,NA,NA,0,2,0
197,,,NA,NA,0,2,0
198,,,NA,NA,0,2,0
199,,,NA,NA,0,2,0
2,,,NA,NA,0,2,0
20,,,NA,NA,0,2,0
200,,,NA,NA,0,2,0
21,,,NA,NA,0,2,0
22,,,NA,NA,0,2,0
23,,,NA,NA,0,2,0
24,,,NA,NA,0,2,0
25,,,NA,NA,0,2,0
26,,,NA,NA,0,2,0
27,,,NA,NA,0,2,0
28,,,NA,NA,0,2,0
29,,,NA,NA,0,2,0
2pqked5vawp4soxrdwx9,,,NA,NA,0,2,0
3,,,NA,NA,0,2,0
30,,,NA,NA,0,2,0
31,,,NA,NA,0,2,0
32,,,NA,NA,0,2,0
33,,,NA,NA,0,2,0
34,,,NA,NA,0,2,0
35,,,NA,NA,0,2,0
36,,,NA,NA,0,2,0
37,,,NA,NA,0,2,0
38,,,NA,NA,0,2,0
39,,,NA,NA,0,2,0
4,,,NA,NA,0,2,0
40,,,NA,NA,0,2,0
41,,,NA,NA,0,2,0
42,,,NA,NA,0,2,0
43,,,NA,NA,0,2,0
44,,,NA,NA,0,2,0
45,,,NA,NA,0,2,0
46,,,NA,NA,0,2,0
47,,,NA,NA,0,2,0
48,,,NA,NA,0,2,0
49,,,NA,NA,0,2,0
5,,,NA,NA,0,2,0
50,,,NA,NA,0,2,0
51,,,NA,NA,0,2,0
52,,,NA,NA,0,2,0
53,,,NA,NA,0,2,0
54,,,NA,NA,0,2,0
55,,,NA,NA,0,2,0
56,,,NA,NA,0,2,0
57,,,NA,NA,0,2,0
58,,,NA,NA,0,2,0
59,,,NA,NA,0,2,0
6,,,NA,NA,0,2,0
60,,,NA,NA,0,2,0
61,,,NA,NA,0,2,0
62,,,NA,NA,0,2,0
63,,,NA,NA,0,2,0
64,,,NA,NA,0,2,0
65,,,NA,NA,0,2,0
66,,,NA,NA,0,2,0
67,,,NA,NA,0,2,0
68,,,NA,NA,0,2,0
69,,,NA,NA,0,2,0
6jbc0fa097qswtmh61gr,,,NA,NA,0,2,0
7,,,NA,NA,0,2,0
70,,,NA,NA,0,2,0
71,,,NA,NA,0,2,0
72,,,NA,NA,0,2,0
73,,,NA,NA,0,2,0
74,,,NA,NA,0,2,0
75,,,NA,NA,0,2,0
76,,,NA,NA,0,2,0
77,,,NA,NA,0,2,0
78,,,NA,NA,0,2,0
79,,,NA,NA,0,2,0
8,,,NA,NA,0,2,0
80,,,NA,NA,0,2,0
81,,,NA,NA,0,2,0
82,,,NA,NA,0,2,0
83,,,NA,NA,0,2,0
84,,,NA,NA,0,2,0
85,,,NA,NA,0,2,0
86,,,NA,NA,0,2,0
87,,,NA,NA,0,2,0
88,,,NA,NA,0,2,0
89,,,NA,NA,0,2,0
9,,,NA,NA,0,2,0
90,,,NA,NA,0,2,0
91,,,NA,NA,0,2,0
92,,,NA,NA,0,2,0
93,,,NA,NA,0,2,0
94,,,NA,NA,0,2,0
95,,,NA,NA,0,2,0
96,,,NA,NA,0,2,0
97,,,NA,NA,0,2,0
98,,,NA,NA,0,2,0
99,,,NA,NA,0,2,0
9dgvdb8jnmkr1vddfgvf,,,NA,NA,0,2,0
a3mxta3zg3ddh67swze1,,,NA,NA,0,2,0
b12dde0ec0ms936w94dm,,,NA,NA,0,2,0
dg1bytth91ycks23anmp,,,NA,NA,0,2,0
esphjqrvfssms15z58lf,,,NA,NA,0,2,0
hcynrw1w3as9nbm2vcj2,,,NA,NA,0,2,0
hgprnh8su6c7qt4jhng0,,,NA,NA,0,2,0
hjfzle0c95r3owqk9wkb,,,NA,NA,0,2,0
hlp9o34g0xpdt7n2vc2z,,,NA,NA,0,2,0
lp4xgkzfl08a9g4ln6cy,,,NA,NA,0,2,0
negx101x8pyt3m1pey56,,,NA,NA,0,2,0
nfkdpeke9upnr441gjol,,,NA,NA,0,2,0
oh58scusso9f6rtph8bk,,,NA,NA,0,2,0
ojnumx2saz28r671fgws,,,NA,NA,0,2,0
s2xakns96m77roevlsao,,,NA,NA,0,2,0
xjgy14uog6r2k3wb8n5h,,,NA,NA,0,2,0
xx1w7em2h6fn32r39q4k,,,NA,NA,0,2,0
